Date,Country,Avg_Tone,Avg_Stability,Total_Mentions,Panic_Index
20190222,IN,-2.491910657963855,-0.0656462585034013,5816,0.119047619047619
20190222,US,-2.9695780747457845,0.1947839046199701,44775,0.0884252359662195
20190223,US,-2.5184665260714465,0.3776240846216437,26349,0.0919446704637917
20190223,IN,-2.829031742472214,-0.5365079365079362,4929,0.123015873015873
20190224,US,-2.031397182763551,0.8742950108459869,19669,0.0835140997830802
20190224,IN,-2.4596468266192657,0.0789719626168224,4021,0.102803738317757
20190225,US,-2.2620412433337007,0.7293753865182436,33489,0.0896722325293753
20190225,IN,-2.6367002992435298,0.3911538461538463,5253,0.1153846153846153
20190226,US,-2.4275632545448897,0.5430792377131393,41930,0.0767301905717151
20190226,IN,-4.138296237454636,-1.825766871165644,6497,0.2791411042944785
20190227,US,-2.751689456812441,0.3518814675446848,46032,0.0743179680150517
20190227,IN,-3.9911669099818017,-1.699441340782122,7897,0.2681564245810055
20190228,US,-2.329732294793857,0.597526165556613,46055,0.0704091341579448
20190228,IN,-3.541000458160011,-1.0520725388601035,7977,0.2202072538860103
20190301,IN,-2.2719624238695006,-0.4685294117647056,6607,0.2088235294117647
20190301,US,-2.66268377978801,0.2953063241106718,43697,0.091897233201581
20190302,IN,-2.962536193723827,-0.3601063829787236,3548,0.1382978723404255
20190302,US,-2.3829953277305047,0.2716472303206997,28384,0.0918367346938775
20190303,IN,-2.5822636694940124,-0.4904255319148935,3500,0.175531914893617
20190303,US,-2.0605350404808145,0.1498936170212765,18393,0.1159574468085106
20190304,IN,-2.3363629593333437,-0.4660649819494585,5226,0.1696750902527075
20190304,US,-2.5117396833542087,0.2971681415929203,35881,0.0961651917404129
20190305,US,-2.6405208066421757,0.3414171656686625,43579,0.0793413173652694
20190305,IN,-2.2783195132737575,0.2469798657718121,5588,0.1241610738255033
20190306,US,-2.398808356334195,0.236333802156587,46245,0.0914205344585091
20190306,IN,-1.9669967145946587,0.5357142857142857,5567,0.0821428571428571
20190307,US,-2.444270146539216,0.3192326372025252,44195,0.0947061680427392
20190307,IN,-2.2596585892495784,0.67029702970297,5605,0.1056105610561056
20190308,IN,-2.1756425447990058,0.2274193548387096,4496,0.0806451612903225
20190308,US,-3.114552077999424,0.1901104176668266,43513,0.099375900144023
20190309,US,-2.9327466826788027,0.2528213166144202,30525,0.0799373040752351
20190309,IN,-1.956889140285788,0.2505681818181816,3376,0.0738636363636363
20190310,US,-2.112003185139941,0.6412760416666669,15302,0.0846354166666666
20190310,IN,-1.5584594709461257,-0.0275675675675676,3516,0.1135135135135135
20190311,IN,-2.4665777464315464,0.1567796610169491,4478,0.1271186440677966
20190311,US,-2.3211433712339056,0.3860248447204965,34548,0.1055900621118012
20190312,IN,-2.0229799479163537,0.1376425855513308,5185,0.0798479087452471
20190312,US,-2.466228448894302,0.3100334448160533,45517,0.0845676063067367
20190313,IN,-2.2842034858148224,0.4080385852090032,5639,0.0868167202572347
20190313,US,-2.763091703148436,0.1797480167988801,46148,0.0919272048530098
20190314,US,-2.7241782789630924,0.2570685579196216,46499,0.085579196217494
20190314,IN,-1.9465329530134912,1.493301435406699,3877,0.062200956937799
20190315,US,-3.0475470220810443,0.0131663113006396,38728,0.1050106609808102
20190315,IN,-2.5190514627975737,-0.4349999999999996,4754,0.1291666666666666
20190316,US,-2.8617767128280405,0.2014218009478675,26286,0.0979462875197472
20190316,IN,-2.0406335874737285,0.1172588832487309,3601,0.116751269035533
20190317,IN,-1.3556335331066167,0.0358974358974359,4432,0.1111111111111111
20190317,US,-3.0642693629956974,0.0405263157894736,20609,0.1126315789473684
20190318,US,-2.601846994100297,0.1987273945077027,30737,0.1011386470194239
20190318,IN,-2.3713115347358222,0.1589861751152073,4237,0.0737327188940092
20190319,US,-3.105788945791649,0.2680870773506252,46469,0.0866141732283464
20190319,IN,-1.7725355628571606,0.2737642585551331,5619,0.1140684410646387
20190320,IN,-2.1089880209419047,0.0598290598290598,4403,0.1111111111111111
20190320,US,-2.8920171555454086,-0.0974081055607916,46970,0.1102733270499528
20190321,US,-3.177703778043353,0.0462763466042154,47538,0.1049180327868852
20190321,IN,-2.3739070350415554,-0.7257142857142858,2816,0.1642857142857142
20190322,US,-3.0425164388854795,0.1567231638418079,38906,0.096045197740113
20190322,IN,-2.7850939979866784,-0.3755681818181818,3571,0.1534090909090909
20190323,IN,-2.469582094343995,-0.6413793103448276,2529,0.1448275862068965
20190323,US,-2.7173886568354964,-0.0455999999999999,28859,0.1096
20190324,IN,-2.143244195500491,-0.4132911392405062,2726,0.1455696202531645
20190324,US,-2.2763823389843303,-0.174030552291422,17688,0.1280846063454759
20190325,US,-2.663324120819345,0.1017176596886741,40089,0.1105743424584004
20190325,IN,-2.0239735452759087,0.513310580204778,5676,0.0955631399317406
20190326,IN,-1.4732065990498355,0.129326923076923,4228,0.110576923076923
20190326,US,-3.1759439027250576,0.3006653992395437,45563,0.086977186311787
20190327,US,-2.902989684603084,0.5054537885095753,54181,0.078684429641965
20190327,IN,-1.4726422737605216,0.424,5515,0.0618181818181818
20190328,IN,-1.9580146010531272,-0.5383673469387756,4278,0.110204081632653
20190328,US,-2.9054301878430198,0.4167637830569253,53179,0.1075750784401613
20190329,IN,-2.2281982179367312,-0.3226923076923077,5184,0.1269230769230769
20190329,US,-2.7815539853059854,0.3066212268743913,47930,0.0837390457643622
20190330,US,-3.200568073663466,-0.1503591380686353,30840,0.1125299281723862
20190330,IN,-2.3690451262503696,0.922012578616352,2853,0.0817610062893081
20190331,US,-2.478400719534996,0.1039318479685452,14640,0.1087811271297509
20190331,IN,-1.0962558342827258,0.0928571428571428,2716,0.0779220779220779
20190401,US,-2.1891599091148333,0.4047619047619047,31923,0.1034013605442176
20190401,IN,-1.7938372663100457,-0.1833333333333331,3079,0.1166666666666666
20190402,US,-2.685391471026556,0.2084669338677355,43872,0.1012024048096192
20190402,IN,-0.9451296712330796,0.728624535315985,5308,0.0892193308550185
20190403,US,-2.8977438059711447,0.351855331141381,46834,0.1000469704086425
20190403,IN,-2.4533228190828646,-0.5923387096774196,4896,0.125
20190404,IN,-1.5072898242907409,0.4880434782608695,3606,0.0380434782608695
20190404,US,-2.850244562563037,0.397461273666093,49497,0.0851979345955249
20190405,US,-3.316757929431455,0.1598116947472743,44067,0.0822596630327056
20190405,IN,-2.4176979494916453,-0.6285714285714283,3987,0.1224489795918367
20190406,IN,-2.2507821287632654,-0.3494117647058824,3013,0.1
20190406,US,-2.8029526350842247,0.2326689774696707,23786,0.0875216637781629
20190407,US,-2.778123111323846,0.5186799501867992,17276,0.1070983810709838
20190407,IN,-2.1641434471439096,-0.7054545454545454,3245,0.1272727272727272
20190408,IN,-1.8896753731054905,0.6983516483516485,3477,0.0604395604395604
20190408,US,-2.7468598049911845,0.3916137229987296,35016,0.090851334180432
20190409,US,-2.9210589812848986,0.2600605143721632,44359,0.096822995461422
20190409,IN,-2.92201025583646,-0.4609561752988047,4970,0.1553784860557768
20190410,IN,-3.0214056633808832,0.0260273972602739,5893,0.0684931506849315
20190410,US,-2.898972662935156,0.0131147540983606,47480,0.0979052823315118
20190411,US,-2.887844235750982,0.2106625713032032,49077,0.0921456779289161
20190411,IN,-1.7654450579422731,-0.4963369963369959,6074,0.1282051282051281
20190412,IN,-1.867906646197361,0.6627705627705629,4574,0.0606060606060606
20190412,US,-3.0209683281605897,0.1238164251207729,43447,0.093719806763285
20190413,US,-2.954213223451081,0.2424174174174172,28869,0.09009009009009
20190413,IN,-1.978761210247136,-0.1416666666666666,4089,0.1029411764705882
20190414,US,-2.49118296453797,0.2823999999999999,21256,0.0948571428571428
20190414,IN,-2.478255972448215,0.233125,3102,0.1125
20190415,IN,-1.8399227917183156,-0.3961038961038962,2943,0.1233766233766233
20190415,US,-3.348453189890233,-0.1102642901044867,35549,0.1186232329440688
20190416,US,-3.2840307439787555,-0.3826737967914437,44150,0.1331550802139037
20190416,IN,-1.9631672780611145,0.0520833333333332,4838,0.075
20190417,IN,-2.1879005735826955,0.3285714285714286,4480,0.0924369747899159
20190417,US,-2.931333336562137,0.1352100089365504,50438,0.1161751563896336
20190418,IN,-2.2716661739279207,-0.1679715302491102,5545,0.1103202846975089
20190418,US,-2.87181026858019,0.0342091152815013,42100,0.0895442359249329
20190419,IN,-2.4619413678189552,-0.059375,4114,0.0982142857142857
20190419,US,-3.1895502477736164,-0.214712643678161,37978,0.1218390804597701
20190420,US,-3.096073787977975,-0.0154995331465919,24579,0.1017740429505135
20190420,IN,-2.7074503696748824,-0.1989743589743589,3475,0.1128205128205128
20190421,US,-2.458537319215102,0.2505976095617528,15027,0.1102257636122177
20190421,IN,-2.8552097152292975,-0.702173913043478,2403,0.1739130434782608
20190422,IN,-2.434809927701939,0.6582887700534757,3471,0.0588235294117647
20190422,US,-2.405531766931333,0.4169649805447469,25838,0.0879377431906614
20190423,US,-2.9024657470995545,0.2361363636363635,39739,0.0892045454545454
20190423,IN,-2.574503045670175,0.0466165413533834,5433,0.1015037593984962
20190424,US,-3.013408575294217,0.2967329545454542,44470,0.0871212121212121
20190424,IN,-2.318108233248065,-0.1112745098039214,4152,0.1274509803921568
20190425,US,-2.6950498309052637,0.2201411764705882,45973,0.0889411764705882
20190425,IN,-2.140001029467369,0.1389162561576353,4356,0.0935960591133004
20190426,IN,-2.7444269767068192,-0.482629107981221,4143,0.0938967136150234
