Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-03-13,87.05,0.4461142121082009,1.0,3117.0,6987,36332,-1.558093808218031
2025-03-14,86.94,0.5424475379181384,1.9,2610.8,4813,25719,-1.2502551306816685
2025-03-17,86.79,0.1828207482212531,1.0,1593.1,8714,44447,-1.813517214078879
2025-03-18,86.55,0.3940672628794558,1.0,3128.5,7939,41497,-1.845479265041368
2025-03-19,86.32,0.5077922077922078,1.0,4027.3,7931,41189,-1.7603056930955747
2025-03-20,86.36,0.0662314615287108,1.0,522.5,7889,42174,-2.1686698575335845
2025-03-21,86.03,0.2325785340314136,1.0,1776.9,7640,40034,-1.8791957523238796
2025-03-24,85.57,0.0570073480293921,1.0,426.7000000000001,7485,39066,-1.92505691664642
2025-03-25,85.7,0.4869112672391361,1.0,3742.4,7686,40888,-1.863679296568393
2025-03-26,85.65,0.2898715948637945,1.0,2415.5,8333,42372,-1.710433137037635
2025-03-27,85.73,0.4067534788714413,1.0,3186.1,7833,41072,-1.782026558198074
2025-03-28,85.53,0.3116883116883117,1.0,2376.0,7623,39477,-1.891753746717444
2025-03-31,85.44,0.5213811215819558,1.0,3374.9,6473,34524,-1.292143409382618
2025-04-01,85.63,0.7376475216365067,1.0,5625.3,7626,40844,-1.2247628437732172
2025-04-02,85.49,0.5715154652517148,1.0,4416.1,7727,41457,-1.637177304985782
2025-04-03,85.28,0.4930631526603679,1.0,3966.2,8044,42738,-1.6649063066817331
2025-04-04,85.4,0.6308463511307997,1.0,5411.4,8578,44999,-1.2841398698098314
2025-04-07,85.77,0.4059647367762911,1.9,3246.5,7997,40566,-1.565380080132568
2025-04-08,86.22,0.6015416872224963,1.0,4877.3,8108,41073,-1.083785288573706
2025-04-09,86.67,0.3640264396146089,1.0,3249.3,8926,44279,-2.0400845158359955
2025-04-10,86.16,-0.2304853965284274,0.4,-2217.5,9621,42534,-2.868022905460155
2025-04-11,86.09,0.1455339153794492,1.0,1300.1999999999998,8934,42492,-2.188533289092037
2025-04-14,85.99,0.018109480038414,0.4,131.99999999999997,7289,38344,-2.310995047402011
2025-04-15,85.89,0.1110992529348986,1.0,832.8,7496,38953,-2.0893620530149857
2025-04-16,85.65,0.2897008274984086,1.0,2275.6,7855,42350,-1.941159957928497
2025-04-17,85.4,0.4394560729033177,1.0,3086.3,7023,37957,-1.7401916065596532
2025-04-22,85.2,-0.1378538852078134,1.0,-1602.0000000000002,11621,58792,-3.133293090110993
2025-04-23,85.4,-0.9814294868060814,0.0,-16848.2,17167,76144,-5.207669716432469
2025-04-24,85.34,-0.7173976803092921,0.0,-10762.4,15002,70233,-4.510384533129203
2025-04-25,85.43,-0.7186951754385964,0.0,-9176.3,12768,61903,-4.151657036918723
2025-04-28,85.02,-0.435365340071594,0.0,-4135.1,9498,47135,-3.286742797115074
2025-04-29,85.13,-0.1671838177533385,1.0,-1702.6,10184,50719,-2.8015354689472494
2025-04-30,84.53,-0.1841680284533307,1.0,-1915.9,10403,52725,-2.946589193273012
2025-05-02,84.3,-0.1086693983178779,1.0,-1007.8,9274,45579,-2.8282836806805998
2025-05-05,84.3,-0.1238004246284501,1.0,-1166.2,9420,47341,-2.781132110583579
2025-05-06,84.38,-0.5496335845896148,0.0,-5250.1,9552,49607,-3.0300879069477986
2025-05-07,84.76,-1.8965726467694328,-0.3,-34695.9,18294,88967,-4.620751447128424
2025-05-08,85.5,-1.3400579003504494,0.0,-17589.6,13126,64071,-3.9835410623774328
2025-05-09,85.39,-1.0408154279675943,0.0,-11819.5,11356,58020,-3.672006292052352
2025-05-12,84.86,-0.239878750513769,1.0,-2334.5,9732,46950,-2.8211347479568305
2025-05-13,85.34,-0.5565824175824176,0.0,-5064.9,9100,46311,-3.0426935723730413
2025-05-14,85.39,0.0107315998237108,1.0,97.39999999999998,9076,45161,-2.327539564278272
2025-05-15,85.52,-0.0147746835443038,1.0,-145.9000000000001,9875,48632,-2.4726520396187674
2025-05-16,85.6,0.2480429292929293,1.0,2357.4,9504,47452,-1.8606177405479565
2025-05-19,85.44,-0.1120292887029288,0.0,-963.9,8604,44487,-2.378529283684668
2025-05-20,85.56,0.1685514393852505,1.0,1469.6,8719,44397,-2.089726717686298
2025-05-21,85.57,-0.1793315068493151,1.0,-1636.4,9125,46531,-2.2711908843551774
2025-05-22,85.98,-0.111308615049073,1.0,-1020.7,9170,45151,-2.4345580841118752
2025-05-23,85.43,0.2729745237548772,1.0,2378.7,8714,43642,-2.0041321202769544
2025-05-26,85.09,0.3924224054316197,1.0,3236.7,8248,40411,-1.7321969536832094
2025-05-27,85.4,0.4398283261802574,1.0,3586.8,8155,40410,-1.6778969077085988
2025-05-28,85.39,0.301622300925397,1.0,2640.1,8753,42784,-1.9540384744107668
2025-05-29,85.47,0.3546715242684217,1.0,3017.9,8509,42212,-1.8767127723700852
