Date,GoldsteinScale_mean,GoldsteinScale_std,Event_count,AvgTone_mean,AvgTone_std,Total_mentions,Total_articles,USD_to_INR
2025-04-04,0.6810689220802592,4.315032834224983,5557,-1.2710698348738545,3.64804634288969,29955,29373,85.4
2025-04-07,0.7945153862256646,4.380236189430023,4777,-1.1561232482605674,3.7215619645249625,24438,23921,85.77
2025-04-08,0.9056682577565632,4.141021392938725,5028,-0.5772388538049463,4.303778644934327,26321,25913,86.22
2025-04-09,0.8720037629350893,4.418329984218029,5315,-1.2933014724952372,4.119988044299407,27085,26679,86.67
2025-04-10,0.3471379752242631,4.542449186979756,4682,-1.8287442883462957,4.334009595450353,22080,21788,86.16
2025-04-11,0.6209578300487392,4.363566384010451,4719,-1.419302858103246,4.187988795849543,24630,24081,86.09
2025-04-14,0.3225388000926569,4.583865228138631,4317,-2.040045661990216,4.533285407952096,23408,22954,85.99
2025-04-15,0.3222026819081117,4.408499963494187,4549,-1.9512251415697597,4.347751241343207,24035,23711,85.89
2025-04-16,0.462862430598396,4.488875892477753,4863,-1.8702439409871865,4.020464380105546,26413,25870,85.65
2025-04-17,0.6170797052913597,4.359187455850517,4479,-1.584353627866084,3.852921442710256,24579,24127,85.4
2025-04-22,0.5460480580323409,4.497086910734118,6617,-2.120211431121206,4.815471698724688,33194,32546,85.2
2025-04-23,-0.3297716894977169,4.927274682490268,8760,-4.919056213860612,4.3210957041580365,38977,38539,85.4
2025-04-24,-0.1397714429235212,4.863229281399307,7963,-4.179436748260861,3.76797689966921,37190,36614,85.34
2025-04-25,-0.1343348935527706,4.882678106487726,6623,-3.821075438947645,3.795706210097738,32257,31777,85.43
2025-04-28,-0.0264411529223378,4.923948892650818,4996,-2.807433149016184,4.377794067495685,25017,24736,85.02
2025-04-29,0.5047743966421826,4.6177778856106295,5718,-2.105959733129347,4.202652528097844,28822,28155,85.13
2025-04-30,0.3824001395429967,4.609677125195261,5733,-2.455818060505235,4.111138143435583,28961,28496,84.53
2025-05-02,0.3358129439621152,4.5443387194631,5068,-2.3493817623260123,4.0732316925935335,25076,24623,84.3
2025-05-05,0.3326224783861671,4.493571304800225,5205,-2.4000866759350936,3.794436719576799,26025,25681,84.3
2025-05-06,0.0088469764728757,4.920868323071517,5143,-2.349761378091151,4.169508233154327,26216,25810,84.38
2025-05-07,-1.2417688465031789,5.49122738591814,8808,-4.215201833838636,3.7568763063692017,42306,41846,84.76
2025-05-08,-0.6818622255866768,5.216908154520774,6605,-3.421744043147002,3.907663721987836,31702,31425,85.5
2025-05-09,-0.2109389243391066,5.17439136307031,5485,-3.110667604690656,3.865408677912177,28315,27850,85.39
2025-05-12,0.13904052936311,4.763477242425076,4836,-2.478751639390512,3.8796374149603214,23558,23327,84.86
2025-05-13,0.1074768323504633,4.708610648032987,4748,-2.3862349321801104,3.922968758405802,24074,23755,85.34
2025-05-14,0.3889872173058014,4.651638275656754,5085,-1.927090416464567,3.849614225262816,25277,24891,85.39
2025-05-15,0.4336876832844574,4.576905085937996,5456,-1.9972267462811348,3.762133644953087,27237,26747,85.52
2025-05-16,0.6483258928571429,4.5875581980068345,5376,-1.4692120145305518,3.8167822956057775,26968,26619,85.6
2025-05-19,0.3875686360641335,4.55750256280979,4553,-1.7533484732134246,3.732196896752696,24580,23994,85.44
2025-05-20,0.5680561287659927,4.574336701846987,4846,-1.7100725046173442,3.882853668161195,24927,24658,85.56
2025-05-21,0.2716506443035385,4.561596317233188,4889,-1.8176251064537976,4.0670933880558735,24806,24323,85.57
2025-05-22,0.4121618831302911,4.437487075571716,4843,-2.033206503265925,3.692164065184981,24138,23695,85.98
2025-05-23,0.7196616463792036,4.2740571155774685,4847,-1.5238687875697456,3.741468164081157,24467,24166,85.43
2025-05-26,0.8824342398573339,4.286126951033911,4486,-1.258378770608734,3.8810462596255806,22391,22010,85.09
2025-05-27,0.8586439155814998,4.311291172757522,4454,-1.3580865837500142,3.952374844493741,22798,22426,85.4
2025-05-28,0.8507882403067746,4.168151447225048,4694,-1.4218001312246136,3.907484780124476,23469,23041,85.39
2025-05-29,0.5049886151935417,4.413689643369402,4831,-1.7478800801576184,3.800046686022526,24563,24232,85.47
2025-05-30,0.6073081081081082,4.521352000856125,4625,-1.5233363116469305,3.9514520921553222,23100,22686,85.56
2025-06-02,0.9848635729934276,4.429138612744687,5021,-1.3402129674523326,4.320572179223547,25018,24524,85.38
2025-06-03,0.9102005730659024,4.320677357271626,5235,-1.2942238711876533,3.77424104425872,25805,25364,85.62
2025-06-04,0.9064290129816608,4.083136943455316,4853,-1.4965350136427575,3.9073289915430975,24618,24242,85.89
2025-06-05,0.9036815258372144,4.196943972226111,4509,-1.5140832952594594,3.810132357803392,22689,22384,85.83
2025-06-06,0.6513637310014574,4.384460048182816,4803,-1.1718634030772497,3.773446206823814,23382,23040,85.74
2025-06-09,0.778104335047759,4.525561960160926,4083,-1.378341603587152,3.959727442530348,21237,20881,85.66
2025-06-10,0.6002422373926447,4.528546988468894,4541,-1.202891044504843,3.941284281566216,23478,22978,85.58
2025-06-11,0.7559758339900184,4.302919170365522,3807,-1.1827149971644026,4.061157307089923,20599,20136,85.54
2025-06-12,0.7088934321492462,4.406690236635284,3913,-2.431281348409944,3.935432654294716,21758,21431,85.54
2025-06-13,0.96409307244844,4.325814941857516,3782,-2.3393095287378523,3.8905440275311776,21204,20759,86.09
2025-06-16,3.99375,3.251762342689474,16,-1.993596311466597,3.375603892991512,57,57,86.04
2025-06-17,3.852,2.867507628586191,25,1.3816395248905051,4.544673498403118,141,141,86.26
2025-06-18,0.9545454545454546,2.25636185732006,22,-0.03633770601876,3.610683189863378,124,124,86.43
2025-06-19,2.5,3.3911649915626345,14,-4.322205939346171,2.664776672845812,44,44,86.74
2025-06-20,3.964705882352941,2.5438507170406512,17,-2.07359162953925,1.7122946575417322,78,78,86.62
2025-06-23,2.914285714285714,2.464703208250824,7,-4.473976689105262,4.560434465754204,29,29,86.77
2025-06-24,1.914285714285714,4.42333969596888,14,-1.3641802715463285,3.2517711265578897,66,66,86.03
2025-06-25,-3.5368421052631582,4.924589216104062,38,-4.361624620246917,3.1707739325226947,137,137,86.1
2025-06-26,-1.7153846153846155,4.46352740812431,13,-3.0427951882178395,3.911802839202892,66,66,85.75
2025-06-27,0.6869565217391305,3.592581288740108,23,-1.1368651612518788,2.8750480794723243,85,81,85.51
2025-06-30,-0.15,4.41526199240073,66,-1.5969579490112549,3.172667704638969,266,266,85.8
2025-07-01,0.6444444444444444,4.214827045691152,63,-2.086162420913816,3.376117270361927,240,240,85.56
2025-07-02,0.5374739039665971,4.420914138460086,4790,-1.6424217044674962,4.025494852909932,25498,24911,85.67
2025-07-03,0.710431654676259,4.306988478904333,4448,-1.107832216612115,4.345998636733017,23904,23487,85.38
2025-07-04,0.6340893149403788,4.314628828904809,4277,-1.2471722755503631,4.082181407774179,22611,22203,85.41
2025-07-07,0.3353096179183136,4.638994335127374,4554,-1.6096236811471258,4.100184232396003,23290,22899,85.93
2025-07-08,0.3748101005953603,4.630429200292407,4871,-1.943709944876839,4.036795821710199,25977,25512,85.67
2025-07-09,0.2991596638655462,4.499152889172546,4998,-1.8741324739635288,4.179793990810383,25970,25475,85.72
2025-07-10,0.6174452719476416,4.279637373102387,4431,-1.417051157848385,4.202070829811989,22802,22444,85.76
2025-07-11,0.6298021235521236,4.279332744375521,4144,-1.5288439988620872,4.125837917554153,22030,21447,85.83
2025-07-14,0.7244513457556936,4.466123894559399,4830,-1.1974335143992576,4.039672277375311,24641,24163,86.01
2025-07-15,0.6578352532058248,4.33642108594077,4601,-1.506553314870149,4.0692442257119925,25075,24716,85.86
2025-07-16,0.7177408924337142,4.519077712667129,4639,-1.2758582655296484,4.024555850743209,25119,24550,85.99
2025-07-17,0.5873042240151874,4.4588188944002525,4214,-1.485857245764303,4.271256625328886,22465,22077,86.08
2025-07-18,0.3986807387862797,4.584755725625257,4548,-1.5988835109760655,4.072272963221368,23632,23184,86.14
2025-07-21,0.4447841355091922,4.516232678149595,4841,-2.118846656270267,3.953513048821267,26188,25716,86.29
2025-07-22,0.9437860962566844,4.246036864108517,4675,-1.672716668009595,3.897644090411752,26153,25574,86.43
2025-07-23,0.6721307727480568,4.408218234608256,4374,-1.629983938208324,3.9517410897604166,23736,23330,86.42
2025-07-24,0.91452937460518,4.399748630359717,4749,-1.4603599077590976,4.22230646987681,25476,25089,86.39
2025-07-25,1.0521609195402295,4.344192230603421,4350,-1.1000173872956391,4.297057187313815,22509,22215,86.51
2025-07-28,0.2385284974093264,4.541475703510319,4825,-2.5336089845393097,4.129829173184898,25184,24702,86.7
