Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20200621,-2.938847689954092,0.2094951923076922,16924,832,80
20200622,-2.6386763663633985,0.2103915662650603,26748,1328,144
20200623,-2.948032866376656,0.0951476793248944,40148,1896,194
20200624,-2.9367599208615616,0.2402970771442262,42913,2087,195
20200625,-2.4968718781700128,0.4428176795580111,36925,1810,146
20200626,-2.7689403324982065,0.4944767441860464,35344,1720,125
20200627,-2.658655799408407,0.1841666666666665,24862,1200,99
20200628,-2.9445284776086926,-0.0986951364175563,16852,843,101
20200629,-2.6410004142014825,-0.1657316148597421,26496,1319,162
20200630,-2.5854808005573355,0.1032938754503345,40269,1943,220
20200701,-2.0551665578047382,0.2571579503433703,38297,1893,176
20200702,-2.7299094306220733,0.2119797525309336,36812,1778,147
20200703,-2.780687886461207,0.1670046801872074,25635,1282,120
20200704,-2.7008634847342607,0.1024242424242423,19517,990,103
20200705,-2.835246405938542,-0.314567901234568,15457,810,116
20200706,-2.9333368349880558,-0.0957430340557274,25465,1292,151
20200707,-2.6623810787864097,0.3450397877984084,38209,1885,182
20200708,-2.4330371338393597,0.3854124748490945,40601,1988,180
20200709,-2.810321881791179,0.4430327868852459,39707,1952,162
20200710,-2.995647824052056,0.2277286135693215,32393,1695,135
20200711,-2.789970806236766,0.4612727272727274,21410,1100,78
20200712,-2.308849886589369,0.3752675386444709,17101,841,90
20200713,-2.865254569781612,0.1740548554484803,26723,1349,138
20200714,-2.5904214136937784,0.5607512248230812,36270,1837,148
20200715,-2.5483363979510965,0.4077116935483872,41602,1984,169
20200716,-2.638276588877863,0.5904967602591791,36349,1852,158
20200717,-2.7774854168506726,0.201404853128991,30229,1566,141
20200718,-2.6292203780736862,0.1742807323452484,22049,1147,110
20200719,-2.4750166648879084,0.2172645739910313,17718,892,89
20200720,-2.9493800771678256,0.2423480083857443,28436,1431,144
20200721,-3.013405877442639,0.2828947368421052,37373,1824,143
20200722,-2.682930072147496,0.386053562405255,39880,1979,184
20200723,-3.006881666421949,0.6676544450025114,41067,1991,140
20200724,-2.6382478214696783,0.2624788732394366,38067,1775,154
20200725,-2.989629634265601,0.2347703842549203,21871,1067,86
20200726,-2.968507355588936,-0.1870526315789473,20057,950,128
20200727,-2.9962264446749067,0.2824501032346866,29335,1453,157
20200728,-2.3322510489632378,0.2617905207723815,35706,1709,163
20200729,-2.5291391789983826,0.3671163575042157,35406,1779,164
20200730,-2.560507538549046,0.1189368770764119,37958,1806,168
20200731,-2.7925132369919567,0.1901949202598936,34686,1693,164
20200801,-2.192077955255437,0.7930000000000001,20722,1100,86
20200802,-2.391274748611657,0.3761235955056181,13834,712,73
20200803,-2.228786116868734,0.3763157894736842,27477,1292,134
20200804,-2.287306656161062,0.6062754212667055,35190,1721,137
20200805,-1.9923689392582096,0.7711033274956214,34363,1713,138
20200806,-2.6629960313737167,0.4588921282798832,34673,1715,144
20200807,-2.571089564888896,0.4201713909030984,31296,1517,120
20200808,-2.295971655971313,0.3189873417721516,20796,1027,98
20200809,-2.867692669600357,-0.0090487238979118,18649,862,100
20200810,-2.5788220441318708,0.5313926042486228,26481,1271,116
20200811,-2.281632140701024,0.119041769041769,33421,1628,171
20200812,-2.3522954805727303,0.4528488372093021,33880,1720,129
20200813,-2.261787827391342,0.3584086799276674,34966,1659,153
